,abbreviation,full_name,nick_name,conference,division,city_state_region,season,venue,logo
186,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2008,,CIN_logo.webp
187,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2008,,CHI_logo.webp
188,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2008,,CAR_logo.webp
189,BUF,Buffalo Bills,Bills,AFC,AFC_EASTERN,Buffalo,2008,,BUF_logo.webp
190,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2008,,BAL_logo.webp
191,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2008,,ATL_logo.webp
192,WAS,Washington Redskins,Redskins,NFC,NFC_EASTERN,Washington,2009,,WAS_logo_old.png
193,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2009,,TB_logo_old.png
194,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WESTERN,Seattle,2009,,SEA_logo_old.png
195,SF,San Francisco 49ers,49ers,NFC,NFC_WESTERN,San Francisco,2009,,SF_logo.webp
196,LAC,San Diego Chargers,Chargers,AFC,AFC_WESTERN,San Diego,2009,,LAC_logo.webp
197,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2009,,PIT_logo.webp
198,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WESTERN,Arizona,2009,,ARI_logo.webp
199,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EASTERN,Philadelphia,2009,,PHI_logo.webp
200,NYJ,New York Jets,Jets,AFC,AFC_EASTERN,New York Jets,2009,,NYJ_logo_old.png
201,NYG,New York Giants,Giants,NFC,NFC_EASTERN,New York Giants,2009,,NYG_logo.webp
202,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2009,,NO_logo.webp
203,NE,New England Patriots,Patriots,AFC,AFC_EASTERN,New England,2009,,NE_logo.webp
204,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2009,,MIN_logo.webp
205,MIA,Miami Dolphins,Dolphins,AFC,AFC_EASTERN,Miami,2009,,MIA_logo_old.png
206,LV,Oakland Raiders,Raiders,AFC,AFC_WESTERN,Oakland,2009,,LV_logo.webp
207,LA,St. Louis Rams,Rams,NFC,NFC_WESTERN,St. Louis,2009,,LA_logo.webp
208,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WESTERN,Kansas City,2009,,KC_logo.webp
209,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2009,,JAX_logo_old.png
210,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2009,,IND_logo.webp
211,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2009,,HOU_logo.webp
212,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2009,,TEN_logo.webp
213,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2009,,GB_logo.webp
214,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2009,,DET_logo.webp
215,DEN,Denver Broncos,Broncos,AFC,AFC_WESTERN,Denver,2009,,DEN_logo.webp
216,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EASTERN,Dallas,2009,,DAL_logo.webp
217,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2009,,CLE_logo.webp
218,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2009,,CIN_logo.webp
219,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2009,,CHI_logo.webp
220,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2009,,CAR_logo.webp
221,BUF,Buffalo Bills,Bills,AFC,AFC_EASTERN,Buffalo,2009,,BUF_logo.webp
222,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2009,,BAL_logo.webp
223,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2009,,ATL_logo.webp
224,WAS,Washington Redskins,Redskins,NFC,NFC_EASTERN,Washington,2010,,WAS_logo_old.png
225,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2010,,TB_logo_old.png
226,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WESTERN,Seattle,2010,,SEA_logo_old.png
227,SF,San Francisco 49ers,49ers,NFC,NFC_WESTERN,San Francisco,2010,,SF_logo.webp
228,LAC,San Diego Chargers,Chargers,AFC,AFC_WESTERN,San Diego,2010,,LAC_logo.webp
229,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2010,,PIT_logo.webp
230,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WESTERN,Arizona,2010,,ARI_logo.webp
231,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EASTERN,Philadelphia,2010,,PHI_logo.webp
232,NYJ,New York Jets,Jets,AFC,AFC_EASTERN,New York Jets,2010,,NYJ_logo_old.png
233,NYG,New York Giants,Giants,NFC,NFC_EASTERN,New York Giants,2010,,NYG_logo.webp
234,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2010,,NO_logo.webp
235,NE,New England Patriots,Patriots,AFC,AFC_EASTERN,New England,2010,,NE_logo.webp
236,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2010,,MIN_logo.webp
237,MIA,Miami Dolphins,Dolphins,AFC,AFC_EASTERN,Miami,2010,,MIA_logo_old.png
238,LV,Oakland Raiders,Raiders,AFC,AFC_WESTERN,Oakland,2010,,LV_logo.webp
239,LA,St. Louis Rams,Rams,NFC,NFC_WESTERN,St. Louis,2010,,LA_logo.webp
240,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WESTERN,Kansas City,2010,,KC_logo.webp
241,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2010,,JAX_logo_old.png
242,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2010,,IND_logo.webp
243,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2010,,HOU_logo.webp
244,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2010,,TEN_logo.webp
245,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2010,,GB_logo.webp
246,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2010,,DET_logo.webp
247,DEN,Denver Broncos,Broncos,AFC,AFC_WESTERN,Denver,2010,,DEN_logo.webp
248,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EASTERN,Dallas,2010,,DAL_logo.webp
249,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2010,,CLE_logo.webp
250,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2010,,CIN_logo.webp
251,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2010,,CHI_logo.webp
252,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2010,,CAR_logo.webp
253,BUF,Buffalo Bills,Bills,AFC,AFC_EASTERN,Buffalo,2010,,BUF_logo.webp
254,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2010,,BAL_logo.webp
255,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2010,,ATL_logo.webp
256,WAS,Washington Redskins,Redskins,NFC,NFC_EASTERN,Washington,2011,,WAS_logo_old.png
257,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2011,,TB_logo_old.png
258,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WESTERN,Seattle,2011,,SEA_logo.webp
